test_id,chunk_id,source_chunk,question
28,c95e2973-7662-4274-928f-1a46cdfc043d,"Outside this age range, PSA-based screening as a routine test was not recommended based on the available evidence. The entire guideline is available at www.AUAnet.org/education/guidelines/ prostate-cancer-detection.cfm.

The PSA criteria used to recommend a diagnostic prostate biopsy have evolved over time. However, based on the commonly used cut point for prostate biopsy (a total PSA ≥4 ng/mL), most men with a PSA elevation do not have histologic evidence of prostate cancer at biopsy. In addition, many men with PSA levels below this cut point harbor cancer cells in their prostate. Information from the PCPT demonstrates that there is no PSA below which the risk of prostate cancer is zero. Thus, the PSA level establishes the likelihood that a man will harbor cancer if he undergoes a prostate biopsy. The goal is to increase the sensitivity of the test for younger men more likely to die of the disease and to reduce the frequency of detecting cancers of low malignant potential in elderly men more likely to die of other causes. Patients with symptomatic prostatitis should have a course of antibiotics before biopsy. However, the routine use of antibiotics in an asymptomatic man with an elevated PSA level is strongly discouraged.

Prostate Biopsy A diagnosis of cancer is established by an image-guided needle biopsy. Direct visualization by transrectal ultrasound (TRUS) or magnetic resonance imaging (MRI) assures that all areas of the gland are sampled. Contemporary schemas advise an extended-pattern 12-core biopsy that includes sampling from the peripheral zone as well as a lesion-directed palpable nodule or suspicious image-guided sampling. Men with an abnormal PSA and negative biopsy are advised to undergo a repeat biopsy.

BioPsy Pathology Each core of the biopsy is examined for the presence of cancer, and the amount of cancer is quantified based on the length of the cancer within the core and the percentage of the core involved. Of the cancers identified, >95% are adenocarcinomas; the rest are squamous or transitional cell tumors or, rarely, carcinosarcomas. Metastases to the prostate are rare, but in some cases colon cancers or transitional cell tumors of the bladder invade the gland by direct extension.",What PSA level is commonly used as the cut point for recommending a prostate biopsy?
29,7f92c418-2695-4d5e-b7b5-78e000b01149,"6.5 Cytosolic proteins are degraded by the ubiquitin–proteasome system into short peptides. The proteasome is composed of a 20S catalytic core, which consists of four multisubunit rings (see text), and two 19S regulatory caps on either end. Proteins (orange) that are targeted become covalently tagged with K48-linked polyubiquitin chains (yellow) through the actions of various E3 ligases. The 19S regulatory cap recognizes polyubiquitin and draws the tagged protein inside the catalytic chamber; there, the protein is degraded, giving rise to small peptide fragments that are released back into the cytoplasm.

Panel a: in this side view cross-section, the heptamer rings of the PA28 proteasome activator (yellow) interact with the α subunits (pink) at either end of the core proteasome (the β subunits that make up the catalytic cavity of the core are in blue). Within this region is the α-annulus (green), a narrow ringlike opening that is normally blocked by other parts of the α subunits (shown in red). Panel b: a close-up view from the top, looking into the α-annulus without PA28 bound. Panel c: with the same perspective, the binding of PA28 to the proteasome changes the conformation of the α subunits, moving those parts of the molecule that block the α-annulus, and opening the end of the cylinder. For simplicity, PA28 is not shown. Structures courtesy of F. Whitby.

Fig. 6.6 The PA28 proteasome activator binds to either end of the proteasome.

flow allows potentially antigenic peptides to escape additional processing that might destroy their antigenicity.

Translation of self or pathogen-derived mRNAs in the cytoplasm generates not only properly folded proteins but also a significant quantity—possibly up to 30%—of peptides and proteins that are known as defective ribosomal products (DRiPs). These include peptides translated from introns in improperly spliced mRNAs, translations of frameshifts, and improperly folded proteins, which are tagged by ubiquitin for rapid degradation by the proteasome.","According to the passage, what proportion of newly synthesized cytoplasmic proteins are defective ribosomal products (DRiPs)?"
30,a8c877dd-6564-4362-8184-cdc160eb96c9,"Transient global amnesia is a distinctive syndrome usually seen in late middle age. Patients become acutely disoriented and repeatedly ask who they are, where they are, and what they are doing. The spell is characterized by anterograde amnesia (inability to retain new information) and a retrograde amnesia for relatively recent events that occurred before the onset. The syndrome usually resolves within 24 to 48 h and is followed by the filling in of the period affected by the retrograde amnesia, although there is persistent loss of memory for the events that occurred during the ictus. Recurrences are noted in approximately 20% of patients. Migraine, temporal lobe seizures, and perfusion abnormalities in the posterior cerebral territory have been postulated as causes of transient global amnesia. The absence of associated neurologic findings occasionally may lead to the incorrect diagnosis of a psychiatric disorder.

The frontal lobes can be subdivided into motor-premotor, dorsolateral prefrontal, medial prefrontal, and orbitofrontal components. The terms frontal lobe syndrome and prefrontal cortex refer only to the last three of these four components. These are the parts of the cerebral cortex that show the greatest phylogenetic expansion in primates, especially in humans. The dorsolateral prefrontal, medial prefrontal, and orbitofrontal areas, along with the subcortical structures with which they are interconnected (i.e., the head of the caudate and the dorsomedial nucleus of the thalamus), collectively make up a large-scale network that coordinates exceedingly complex aspects of human cognition and behavior.

The prefrontal network plays an important role in behaviors that require multitasking and the integration of thought with emotion. Cognitive operations impaired by prefrontal cortex lesions often are referred to as “executive functions.” The most common clinical manifestations of damage to the prefrontal network take the form of two relatively distinct syndromes. In the frontal abulic syndrome, the patient shows a loss of initiative, creativity, and curiosity and displays a pervasive emotional blandness, apathy, and lack of empathy. In the 183 frontal disinhibition syndrome, the patient becomes socially disinhibited and shows severe impairments of judgment, insight, foresight, and the ability to mind rules of conduct.",What percentage of patients with transient global amnesia experience recurrences?
31,ab678d87-88da-4dbf-b2c9-cc9dc15cef84,"Drugs that act to empty the stomach (e.g., metoclopramide) may work as well.

Disorders of Ventilation Caused by Neuromuscular Disease

Failure of ventilation in the neuromuscular diseases causes one of two symptom complexes: an acute one occurs in patients with rapidly evolving generalized weakness, such as Guillain-Barré syndrome and myasthenia gravis, and the other in patients with subacute or chronic diseases, such as motor neuron disease, myopathies (acid maltase, nemaline), and muscular dystrophy. The review by Polkey and colleagues provides a more extensive list of diseases that cause these problems. Patients in whom respiratory failure evolves in a matter of hours become anxious, tachycardic, and diaphoretic. They may display paradoxical respiration, in which the abdominal wall retracts during inspiration, owing to the failure of the diaphragm to contract, while the intercostal and accessory muscles create a negative intrathoracic pressure. Or, there is respiratory alternans, a pattern of diaphragmatic descent only on alternate breaths (this is more characteristic of airway obstruction). These signs appear in the acutely ill patient when the vital capacity has been reduced to approximately 10 percent of normal, or 500 mL in the average adult.

Patients with chronic but stable weakness of the respiratory muscles, demonstrate signs of CO2 retention, such as daytime somnolence, headache upon awakening, nightmares, and, in extreme cases, papilledema. The accessory muscles of respiration are recruited in an attempt to maximize tidal volume, and there is a tendency for the patient to gulp or assume a rounded “fish mouth” appearance in an effort to inhale additional air. In general, patients with chronic respiratory difficulty tolerate lower tidal volumes without dyspnea than do patients with acute disease, and symptoms in the former may occur only at night, when respiratory drive is diminished and compensatory mechanisms for obtaining additional air are in abeyance.

Treatment of the two conditions differs.",At what vital capacity level (in percent of normal or in milliliters) do signs such as paradoxical respiration appear in acutely ill patients with rapidly evolving neuromuscular weakness?
32,2f9aa2af-bb84-4f15-812b-2dbe79b4920e,"Lancet Respir Med 2(9):728, 20e14

Cox Bauer CM, Bernhard A, Greer OM, et al: Maternal and neonatal outcomes in obese women who lose weight during pregnancy. J Perinatol 36(4):278,e2016

Daru K, Cooper NA, Khan KS: Systematic review of randomized trials of the efect of iron supplementation on iron stores and oxygen carrying capacity in pregnancy. Acta Obstet Gynecol Scand 95(3):270, 2016

Davenport MH, Skow RJ, Steinback CD: Maternal responses to aerobic exercise in pregnancy. Clin Obstet Gynecol 59(3):541, 2016

De-Regil LM, Palacios C, Lombardo LK, et al: Vitamin 0 supplementation for women during pregnancy. Cochrane Database Syst Rev 1 :CD008873, 20e16

DeVader SR, Neeley HL, Myles TO, et al: Evaluation of gestational weight gain guidelines for women with normal prep regnancy body mass index. Obstet Gynecole110:745, 2007

Donders GG, Halperin SA, Devligger R, et al: Maternal immunization with an investigational trivalent Group B streptococcal vaccine. Obstet Gynecol 127(2):213,e2016

Duncombe 0, Skouteris H, Wertheim EH, et al: Vigorous exercise and birth outcomes in a sample of recreational exercisers: a prospective study across pregnancy. Aust N Z J Obstet Gynaecol 46:288, 2006

Duryea EL, McIntire DO, Leveno KJ: The rate of preterm birth in the United States is afected by the method of gestational age assignment. Am J Obstet GynecoIe213:331, el, 2015

Ekstrand J, Boreus LO, de Chateau P: No evidence of transfer of luoride from plasma to breast milk.",In which journal and year was the study titled “Maternal and neonatal outcomes in obese women who lose weight during pregnancy” published?
33,0933a695-e221-46df-aa8f-36bf0e049bf1,"We actively encourage medical students and faculty to submit their opinions and ratings of these basic science review materials so that we may update our database. (See p. xvii, How to Contribute.) In addition, we ask that publishers and authors submit for evaluation review copies of basic science review books, including new editions and books not included in our database. We also solicit reviews of new books or suggestions for alternate modes of study that may be useful in preparing for the examination, such as flash cards, computer software, commercial review courses, apps, and websites.

Disclaimer/Conflict of Interest Statement

No material in this book, including the ratings, reflects the opinion or influence of the publisher. All errors and omissions will gladly be corrected if brought to the attention of the authors through our blog at www.firstaidteam.com.

Please note that USMLE-Rx and the entire First Aid for the USMLE series are publications by certain authors of this book; the following ratings are based solely on recommendations from the student authors of this book as well as data from the student survey and feedback forms.",Where should errors and omissions in the book be reported?
34,ca9b7d60-ad2d-4d1a-a709-b0fc04b706b3,"Given that blood flow increases proportionally to the fourth power of the radius of the vessel, small increases in vessel diameter result in tremendous augmentation of uterine artery blood low. For example, in one study, the uterine artery diameter grew from only 3.3 mm to 3.7 mm between 22 and 29 weeks' gestation, but mean velocity increased 50 percent, from 29 to 43 cm/sec (Flo, 2010).

The downstream fall in vascular resistance is another key factor that accelerates low velocity and shear stress in upstream vessels. In turn, shear stress leads to circumferential vessel growth. Nitric oxide-a potent vasodilator-appears to play a central role in regulating this process and is discussed later (p. 63). Indeed, endothelial shear stress and several hormones and growth facrors all augment endorhelial nitric oxide synthase (eNOS) and nitric oxide producrion (Crummer, 2009; Lim, 2015; Mandala, 2012; Pang, 2015). Facrors include estrogen, progesterone, activin, placental growth facror (PIG F), and vas cular endorhelial growrh factor (VEGF), which is a promoter of angiogenesis. As an impo((am aside, VEGF and PIGF signaling is attenuated in response to excess placenral secretion of their soluble recepror-soluble FMS-like yrosille kinase I (sFlt-I). An ing PIGF and VEGF concentrations and is importanr in pre eclampsia parhogenesis (Chap. 40, p. 716).

Normal pregnancy is also characterized by vascular refrac mriness CO the pressor efects of infused angiotensin II, and rhis raises ureropiacenral blood Aow (Rosenfeld, 1981,e2012).

relaxin and certain adipocyrokines (Vodsrrcil, 201e2). Chemeri1 is an adipocycokine secreted by several rissues, including the placenra (Garces, 2013; Kasher-Meron, 2014).","According to the passage, how did the uterine artery diameter and mean velocity change between 22 and 29 weeks' gestation in the cited study?"
35,010e8bc0-b012-40c6-9785-850c884e41c1,"Seizures are frequent. The head size is variable (microcephaly more often than macrocephaly). Loss of vision, coarse nystagmus and strabismus, macular cherry-red spots (in half the cases), flexion pseudocontractures of elbows and knees, kyphoscoliosis, and enlarged liver and sometimes enlarged spleen are the other important clinical findings. Radiographic abnormalities include subperiosteal bone formation, midshaft widening and demineralization of long bones, and hypoplasia and beaking of the thoracolumbar vertebrae. Vacuoles are seen in 10 to 80 percent of blood lymphocytes and foam cells in the urinary sediment.

A partial or complete deficiency of beta-galactosidase and accumulation of GM1 ganglioside in the viscera and in neurons and glia cells throughout the CNS are the specific biochemical abnormalities. In addition, the epithelial cells of renal glomeruli, histiocytes of the spleen, and liver cells contain a modified keratan sulfate and a galactose-containing oligosaccharide. The changes in the bone are also like those in the Hurler form of mucopolysaccharidosis. The disease should be suspected in an infant having the facial features of mucopolysaccharidosis and severe early-onset neurologic abnormalities.

A remarkably benign variant, also inherited as an autosomal recessive trait, begins later in childhood but may advance so slowly as to allow attainment of adult life. Dystonia, myoclonus, seizures, visual impairment, and macular red spots were features of the two cases described by Goldman and coworkers.

Globoid Cell Leukodystrophy (Krabbe Disease, Galactocerebrosidase Deficiency, GALC Mutation)

This is an autosomal recessive disease without ethnic predilection, first described by Krabbe, a Danish neurologist, in 1916. The onset is usually before the sixth month and often before the third month (10 percent after 1 year). Early manifestations are generalized rigidity, loss of head control, diminished alertness, frequent vomiting, irritability and bouts of inexplicable crying, and spasms induced by stimulation.",What percentage of blood lymphocytes show vacuoles in the disease described in the passage?
36,e24e80b3-fbe2-42a0-a942-fbe986e6ebee,"As the number of tests increases, so does the likelihood that some incidental finding, completely unrelated to the clinical problem at hand, will be uncovered. Deciding whether a clinical clue is worth pursuing or should be dismissed as a “red herring” and weighing whether a proposed test, preventive measure, or treatment entails a greater risk than the disease itself are essential judgments that a skilled clinician must make many times each day. This combination of medical knowledge, intuition, experience, and judgment defines the art of medicine, which is as necessary to the practice of medicine as is a sound scientific base.

CLINICAL SKILLS History-Taking The written history of an illness should include all the facts of medical significance in the life of the patient. Recent events should be given the most attention. Patients should, at some early point, have the opportunity to tell their own story of the illness without frequent interruption and, when appropriate, should receive expressions of interest, encouragement, and empathy from the physician. Any event related by a patient, however trivial or seemingly irrelevant, may provide the key to solving the medical problem. In general, only patients who feel comfortable with the physician will offer complete information; thus putting the patient at ease to the greatest extent possible contributes substantially to obtaining an adequate history.

An informative history is more than an orderly listing of symptoms. By listening to patients and noting the way in which they describe their symptoms, physicians can gain valuable insight. Inflections of voice, facial expression, gestures, and attitude (i.e., “body language”) may offer important clues to patients’ perception of their symptoms. Because patients vary in their medical sophistication and ability to recall facts, the reported medical history should be corroborated whenever possible. The social history also can provide important insights into the types of diseases that should be considered. The family history not only identifies rare Mendelian disorders within a family but often reveals risk factors for common disorders, such as coronary heart disease, hypertension, and asthma. A thorough family history may require input from multiple relatives to ensure completeness and accuracy; once recorded, it can be updated readily. The process of history-taking provides an opportunity to observe the patient’s behavior and to watch for features to be pursued more thoroughly during the physical examination.","In the passage, which events are said to deserve the most attention when writing a patient’s illness history?"
37,0f0d1a93-6ea3-4f1a-a8c4-3d1bc9f6b230,"Am J Surg. 1995;169:105-109, discussion 110.	180.	Brunicardi FC, Chaiken RL, Ryan AS, et al. Pancreatic polypeptide administration improves abnormal glucose metabolism in patients with chronic pancreatitis. J Clin Endocrinol Metab. 1996;81(10):3566-3572.	181.	Rabiee A, Galiatsatos P, Salas-Carrillo R, et al. Pancreatic polypeptide administration enhances insulin sensitivity and reduces the insulin requirement of patients on insulin pump therapy. J Diabetes Sci Technol. 2011;5(6):1521-1528.	182.	Gyr K, Agrawal NM, Felsenfeld O, Font RG. Comparative study of secretin and Lundh tests. Am J Dig Dis. 1975;20:506-512.	183.	Somogyi L, Cintron M, Toskes PP. Synthetic porcine secretin is highly accurate in pancreatic function testing in individuals with chronic pancreatitis. Pancreas. 2000;21:262-265.	184.	Denyer ME, Cotton PB. Pure pancreatic juice studies in normal subjects and patients with chronic pancreatitis. Gut. 1979;20:89-97.	185.	Tanner AR, Fisher D, Ward C, et al. An evaluation of the one-day NBT-PABA/14C-PABA in the assessment of pancreatic exocrine insufficiency. Digestion. 1984;29:42-46.	186.	Brugge W, Goff JS, Allen N. Development of a dual label Schilling test for pancreatic exocrine function based on the differential absorption of cobalamin malabsorption in pancreatic insufficiency. J Clin Invest. 1978;61:47-54.	187.	Haverback B, Dyce B, Gutentag P. Measurement of trypsin and chymotrypsin in stool: a diagnostic test for pancreatic exocrine function. Gastroenterology. 1986;44:588-597.	188.","What is the full citation (journal, year, volume, and page numbers) for the Brunicardi FC et al. study on pancreatic polypeptide administration improving abnormal glucose metabolism in patients with chronic pancreatitis?"
38,d224e9dd-eb94-49aa-b511-c9cb1f9a4211,"Children with seizures may have normal interictal EEGs. When the diagnosis is unclear, more sophisticated EEGs with prolonged recordings and simultaneous video monitoring of the patient in an attempt to capture a typical event may be necessary.

Magnetic resonance imaging (MRI) is superior to computed tomography (CT) in showing most brain pathology,but in the emergency department setting, CT can be performed rapidly and often shows acute intracranial hemorrhage more clearly than MRI. MRI is unnecessary inpatients with the primary generalized epilepsies, such astypical absence and juvenile myoclonic epilepsy. Lesions (tumors, arteriovenous malformations, cysts, strokes, gliosis, focal atrophy) may be identified in 25% of patients,even when the clinical examination and EEG do not suggest focal features. Identification of some lesions, such asfocal cortical dysplasia, hamartoma, and mesial temporalsclerosis, can assist in consideration of surgical treatmentof pharmacoresistant epilepsy.

The decision to institute daily seizure medications for a firstunprovoked seizure is based on the likelihood of recurrencebalanced against the risk of long-term drug therapy. Determination of the recurrence risk is based on the clinical historyand neurodiagnostic testing (Table 181-6). If the recurrencerisk is 75% or greater, it is usually suggested that daily medication be prescribed. Absence seizures, infantile spasms,atypical absence seizures, and atonic seizures are universallyrecurrent at the time of diagnosis, indicating the need fortherapy.

Table 181-6 Recurrence Risk after a First Unprovoked Seizure* SEIZURE TYPE EEG NORMAL, EXAM NORMAL EEG EPILEPTIFORM OR EXAM ABNORMAL BOTH EEG AND EXAM ABNORMAL

Special circumstances: 1.

For absence epilepsy, ethosuximide is the first line treatment.

2.

Adrenocorticotropic hormone, oral corticosteroids, or vigabatrin are used to treat infantile spasms.

Figure 181-1 Treatment for epilepsy.

The goal of treatment is to maintain an optimal functional state. Medication toxicity should be weighed againstthe risk of seizure itself. Initial drug selection is based on themechanism of the seizure (Fig. 181-1).",At what recurrence‑risk percentage after a first unprovoked seizure is daily seizure medication usually recommended?
39,61e8c15a-59fe-456d-9ad0-c455c593321a,"NMDA-receptor antagonists (eg, ketamine) have shown promise in preventing or reversing opioid-induced tolerance in animals and humans. Use of ketamine is increasing because well-controlled studies have shown clinical efficacy in reducing postoperative pain and opioid requirements in opioid-tolerant patients. Agents that independently enhance μ-receptor recycling may also hold promise for improving analgesia in the opioid-tolerant patient.

2. Dependence—The development of physical dependence is an invariable accompaniment of tolerance to repeated administration of an opioid of the μ type. Failure to continue administering the drug results in a characteristic withdrawal or abstinence syndrome that reflects an exaggerated rebound from the acute pharmacologic effects of the opioid.

The signs and symptoms of withdrawal include rhinorrhea, lacrimation, yawning, chills, gooseflesh (piloerection), hyperventilation, hyperthermia, mydriasis, muscular aches, vomiting, diarrhea, anxiety, and hostility. The number and intensity of the signs and symptoms are largely dependent on the degree of physical dependence that has developed. Administration of an opioid at this time suppresses abstinence signs and symptoms almost immediately.

The time of onset, intensity, and duration of abstinence syndrome depend on the drug previously used and may be related to its biologic half-life. With morphine or heroin, withdrawal signs usually start within 6–10 hours after the last dose. Peak effects are seen at 36–48 hours, after which most of the signs and symptoms gradually subside. By 5 days, most of the effects have disappeared, but some may persist for months. In the case of meperidine, the withdrawal syndrome largely subsides within 24 hours, whereas with methadone several days are required to reach the peak of the abstinence syndrome, and it may last as long as 2 weeks. The slower subsidence of methadone effects is associated with a less intense immediate syndrome, and this is the basis for its use in the detoxification of heroin addicts. However, despite the loss of physical dependence on the opioid, craving for it may persist. In addition to methadone, buprenorphine and the α2 agonist clonidine are FDA-approved treatments for opioid analgesic detoxification (see Chapter 32).","After stopping methadone, how long can the opioid withdrawal (abstinence) syndrome last?"
40,058d837e-cf10-4ec1-8651-94ab0f038531,"1.

Effects on carbohydrate metabolism: The IV administration of glucagon leads to an immediate rise in blood glucose. This results from an increase in the degradation of liver glycogen and an increase in hepatic gluconeogenesis.

2.

Effects on lipid metabolism: The primary effect of glucagon on lipid metabolism is inhibition of FA synthesis through phosphorylation and subsequent inactivation of ACC by adenosine monophosphate (AMP)– activated protein kinase (see p. 184). The resulting decrease in malonyl CoA production removes the inhibition on long-chain FA β-oxidation (see p. 191). Glucagon also plays a role in lipolysis in adipocytes, but the major activators of hormone-sensitive lipase (via phosphorylation by protein kinase A) are the catecholamines. The free FA released are taken up by liver and oxidized to acetyl CoA, which is used in ketone body synthesis.

3.

Effects on protein metabolism: Glucagon increases uptake by the liver of amino acids supplied by muscle, resulting in increased availability of carbon skeletons for gluconeogenesis. As a consequence, plasma levels of amino acids are decreased.

D. Mechanism

Glucagon binds to high-affinity G protein–coupled receptors (GPCR) on the cell membrane of hepatocytes. The GPCR for glucagon is distinct from the GPCR that bind epinephrine. [Note: Glucagon receptors are not found on skeletal muscle.] Glucagon binding results in activation of adenylyl cyclase in the plasma membrane (Fig. 23.12; also see p. 94). This causes a rise in cyclic AMP (cAMP), which, in turn, activates cAMP-dependent protein kinase A and increases the phosphorylation of specific enzymes or other proteins. This cascade of increasing enzymic activities results in the phosphorylation-mediated activation or inhibition of key regulatory enzymes involved in carbohydrate and lipid metabolism. An example of such a cascade in glycogen degradation is shown in Figure 11.9 on p. 131. [Note: Glucagon, like insulin, affects gene transcription. For example, glucagon induces expression of phosphoenolpyruvate carboxykinase (see p. 122).]

IV.",Which enzyme involved in fatty acid synthesis is phosphorylated and inactivated by glucagon?
41,d1c08af2-9cd0-4291-a7a9-22e1539aea57,"Helper T cells (TH cells) help activate cytotoxic T cells to kill their target cells, B cells to make antibody responses, macrophages to destroy the microorganisms they harbor, and dendritic cells to activate T cells. Regulatory T cells (Treg cells) produce suppressive proteins (such as the cytokines IL10 and TGFβ) to inhibit other immune cells.

All T cells express cell‑surface antigen receptors (TCRs), which are encoded by genes that are assembled from multiple gene segments during T cell development in the thymus. TCRs recognize peptide fragments of foreign proteins that are displayed in association with MHC proteins on the surface of antigen‑presenting cells (APCs) and target cells. Naïve T cells are activated in peripheral lymphoid organs by activated dendritic cells, which secrete cytokines and express peptide–MHC complexes, co‑stimulatory proteins, and various cell–cell adhesion molecules on their cell surface.

Class I MHC proteins present foreign peptides to TC cells, whereas class II MHC proteins present foreign peptides to TH cells and Treg cells. Whereas class I MHC proteins are expressed on almost all nucleated vertebrate cells, class II MHC proteins are normally restricted to APCs, including dendritic cells, macrophages, and B lymphocytes. Both classes of MHC proteins have a single peptide‑binding groove, which binds a large set of small peptide fragments produced intracellularly by normal protein‑degradation processes: class I MHC proteins mainly bind fragments produced in the cytosol, whereas class II MHC proteins mainly bind fragments produced in endocytic compartments. The peptide–MHC complexes are transported to the cell surface, where complexes that contain a peptide derived from a foreign protein are recognized by TCRs, which interact with both the peptide and the walls of the peptide‑binding groove. T cells also express CD4 or CD8 co‑receptors, which recognize invariant regions of MHC proteins: TH cells and Treg cells express CD4, which recognizes class II MHC proteins; TC cells express CD8, which recognizes class I MHC proteins.",Which cytokines do regulatory T cells (Treg cells) produce to suppress other immune cells?
42,f2191335-1e98-4daf-a7f8-34974b7df46f,"229.	Gronchi A, Fiore M, Miselli F, et al. Surgery of residual disease following molecular-targeted therapy with imatinib mesylate in advanced/metastatic GIST. Ann Surg. 2007;245:341-346.	230.	DeMatteo RP, Ballman KV, Antonescu CR, et al. Placebocontrolled randomized trial of adjuvant imatinib mesylate following  the resection of localized, primary gastrointestinal stromal tumor (GIST). Lancet. 2009;373(9669):1097-1104.	231.	Joensuu H, Eriksson M, Sundby Hall K, et al. One vs three years of adjuvant imatinib for operable gastrointestinal stromal tumor: a randomized trial. JAMA. 2012;307(12):1265-1272.	232.	The ESMO/European Sarcoma Network Working Group. Gastrointestinal stromal tumors: ESMO clinical recommen-dations for diagnosis, treatment and follow-up. Ann Oncol. 2012;23:49-55.	233.	Gold JS, Gönen M, Gutiérrez A, et al. Development and validation of a prognostic nomogram for recurrence-free sur-vival after complete surgical resection of localised primary  gastrointestinal stromal tumour: a retrospective analysis.  Lancet Oncol. 2009;10:1045-1052.	232.	Joensuu H, Vehtari A, Riihimäki J, et al. Risk of recur-rence of gastrointestinal stromal tumour after surgery: an analysis of pooled population-based cohorts. Lancet Oncol. 2012;13(3):265-274.	234.	Demetri GD, Antonia S, Benjamin RS, et al. Soft tissue  sarcoma. J Natl Compr Canc Netw. 2010;8:630-674.	235.	van der Zwan SM, DeMatteo RP. Gastrointestinal stromal tumor: 5 years later. Cancer.",Which publication listed in the passage reports a randomized trial comparing one year versus three years of adjuvant imatinib therapy for operable gastrointestinal stromal tumor?
43,888e9102-1f9a-4686-b952-9e0eae40b1f6,"Carcinoma in situ of the vulva: a continuing challenge. Am J Obstet Gynecol 1980;136:830– 843.

146.

Rutledge F, Sinclair M. Treatment of intraepithelial carcinoma of the vulva by skin excision and graft. Am J Obstet Gynecol 1968;102:807–818.

147.

Chafee W, Ferguson K, Wilkinson EJ. Vulvar intraepithelial neaoplasia (VIN): principles of surgical therapy. Colpo Gynecol Surg 1988;4:125–130.

148.

Reid R. Superficial laser vulvectomy. III. A new surgical technique for appendage-conserving ablation of refractory condylomas and vulvar intraepithelial neoplasia. Am J Obstet Gynecol 1985;152:504–509.

149.

Berek JS, Hacker NF, Lagasse LD. Reconstructive operations. In:

Knapp RC, Berkowitz RS, eds. Gynecologic oncology. Philadelphia, PA: Saunders, 1994:420–432.

150.

Gunn RA, Gallager HS. Vulvar Paget’s disease: a topographic study. Cancer 1980;46:590–594.

151.

Stacy D, Burrell MO, Franklin EW III. Extramammary Paget’s disease of the vulva and anus: use of intraoperative frozen-section margins. Am J Obstet Gynecol 1986;155:519–523.

Amy J. Voedisch Carrie E. Frederick Antonia F. Nicosia Thomas G. Stovall

Spontaneous pregnancy loss is common, occurring in up to 20% of recognized conceptions.

Following an ectopic pregnancy, approximately 15% of women will have a subsequent ectopic pregnancy.

Single-dose methotrexate appears to be the treatment of choice if medical therapy is indicated and selected.

Surgical management and medical therapy appear to be equivalent in a randomized comparison.

An abnormal gestation can be either intrauterine or extrauterine. Extrauterine or ectopic pregnancy occurs when the fertilized ovum becomes implanted in tissue other than the endometrium.","What percentage of women will have a subsequent ectopic pregnancy after an initial ectopic pregnancy, according to the passage?"
44,f279f2de-f92c-4e22-b74c-b31461131b43,"TPMT levels can be measured before initiating therapy. These drugs should not be administered to patients with no TPMT activity and should be initiated at lower doses in patients with intermediate activity. Hypersensitivity reactions to azathioprine or 6-MP occur in 5% of patients. These include fever, rash, pancreatitis, diarrhea, and hepatitis.

As with transplant recipients receiving long-term 6-MP or azathioprine therapy, there appears to be an increased risk of lymphoma among patients with IBD, some of which may be related to Epstein-Barr virus infection. The drugs are also associated with an increased risk of nonmelanoma skin cancers. These drugs cross the placenta; however, there are many reports of successful pregnancies in women taking these agents, and the risk of teratogenicity appears to be small.

Allopurinol markedly reduces xanthine oxide catabolism of the purine analogs, potentially increasing active 6-thioguanine nucleotides that may lead to severe leukopenia. Allopurinol should not be given to patients taking 6-MP or azathioprine except in carefully monitored situations.

Methotrexate is another antimetabolite that has beneficial effects in a number of chronic inflammatory diseases, including Crohn’s disease and rheumatoid arthritis (see Chapter 36), and in cancer (see Chapter 54). Methotrexate may be given orally, subcutaneously, or intramuscularly. Reported oral bioavailability is 50–90% at doses used in chronic inflammatory diseases. Intramuscular and subcutaneous methotrexate exhibit nearly complete bioavailability.

The principal mechanism of action is inhibition of dihydrofolate reductase, an enzyme important in the production of thymidine and purines. At the high doses used for chemotherapy, methotrexate inhibits cellular proliferation. However, at the low doses used in the treatment of IBD (12–25 mg/wk), the antiproliferative effects may not be evident. Methotrexate may interfere with the inflammatory actions of IL-1. It may also stimulate increased release of adenosine, an endogenous anti-inflammatory autacoid.",What dosing recommendations are given for patients with no TPMT activity versus intermediate TPMT activity when starting azathioprine or 6‑MP?
